epoch,time,train/xy_loss,train/cls_loss,train/l1_loss,train/piou_loss,train/smooth_loss,metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/precision(C),metrics/recall(C),metrics/mAP50(C),metrics/mAP50-95(C),val/xy_loss,val/cls_loss,val/l1_loss,val/piou_loss,val/smooth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.943,0.00103,3.09387,0.01429,0.82991,0.00045,0.0111,0.12693,0.01537,0.00676,0.00723,0.09412,0.0045,0.00884,0.00109,2.7424,0.01059,0.70765,0.00015,0.00993976,0.00331325,0.00993976,0.00331325,0.0768072,0.0701807,0.00993976,0.00331325
2,52.3997,0.00108,2.26278,0.01002,0.68834,0.00014,0.35938,0.11952,0.06693,0.03474,0.22015,0.0489,0.00766,0.01612,0.00108,2.19722,0.00982,0.68069,0.00017,0.0198411,0.00661369,0.0198411,0.00661369,0.0533752,0.0401478,0.0198411,0.00661369
3,73.3073,0.00102,1.89053,0.00907,0.64406,0.00015,0.38687,0.19435,0.11285,0.06367,0.22163,0.05218,0.00823,0.01818,0.001,1.88685,0.00828,0.60302,0.00017,0.0296434,0.00988112,0.0296434,0.00988112,0.0298442,0.0100819,0.0296434,0.00988112
4,93.5013,0.00087,1.75232,0.00741,0.55014,0.00016,0.4751,0.26408,0.21661,0.12986,0.22648,0.05124,0.01029,0.02289,0.00084,1.75607,0.00689,0.53761,0.00015,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,113.751,0.00076,1.59949,0.00646,0.49289,0.00014,0.49616,0.28654,0.23403,0.14555,0.22343,0.052,0.01066,0.02196,0.00078,1.6636,0.00657,0.50892,0.00014,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,134.005,0.00074,1.55778,0.00597,0.46766,0.00013,0.27339,0.31098,0.23654,0.15134,0.0266,0.05553,0.01053,0.02251,0.00076,1.68163,0.0059,0.47365,0.00014,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,154.578,0.00069,1.54293,0.0055,0.44871,0.00012,0.52493,0.33358,0.30473,0.19749,0.06282,0.07198,0.01174,0.02457,0.0007,1.56725,0.00542,0.44063,0.00014,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,174.765,0.00067,1.50817,0.00526,0.43387,0.00011,0.41617,0.39812,0.3467,0.22096,0.03253,0.05592,0.01107,0.02363,0.00067,1.55184,0.00532,0.44252,0.00014,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,195.006,0.00065,1.48831,0.00502,0.4207,0.00011,0.37886,0.39228,0.32769,0.21245,0.0292,0.05646,0.01094,0.02388,0.00069,1.57775,0.00531,0.4433,0.00013,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,215.222,0.00064,1.45899,0.0049,0.41208,0.0001,0.51591,0.36818,0.33117,0.21776,0.03294,0.06161,0.01027,0.02223,0.00066,1.5255,0.00494,0.42015,0.00012,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,235.554,0.00063,1.42951,0.00483,0.40744,0.0001,0.398,0.43788,0.36233,0.24032,0.03237,0.06416,0.01196,0.02595,0.00066,1.4373,0.00481,0.41066,0.00013,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,255.766,0.00061,1.4096,0.00473,0.40054,0.0001,0.41072,0.42953,0.36928,0.24422,0.02953,0.07313,0.01338,0.02766,0.00064,1.42114,0.00475,0.4079,0.00013,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
